スペイン語で「お乳を飲む子」という意味がある、バターを使った生地でミルク味の餡を包んで焼き上げた、株式会社三万石が製造する福島県名物の菓子は何でしょう？,ままどおる,33333
つなぎに布海苔という海藻を使った新潟県魚沼地方発祥の蕎麦を、それを盛り付ける容器にちなんで何というでしょう？,へぎそば,3333
紅茶の茶葉を水と牛乳で直接煮出し、砂糖や香辛料で味付けしたインド式のミルクティーを、「茶」という意味のヒンディー語で何というでしょう？,チャイ,444
太い糸でざっくりと編まれた、目の粗い厚手のセーターなどのニット製品のことを、「かさばった」という意味の英語を使って「何ニット」というでしょう？,バルキーニット,4444444
1948年のロンドンオリンピックの際に母国のイタリア選手団のユニフォームをデザインし、選手としても陸上男子400mハードルで6位に入賞した、「ニットの魔術師」の異名で知られたファッションデザイナーは誰でしょう？,オッタヴィオ・ミッソーニ,444444444444
ハイドンの「弦楽四重奏曲第77番」、ベートーベンの「ピアノ協奏曲第5番」に共通する楽曲の副題は何でしょう？,皇帝,66
長寿のお祝いで、「茶寿」といえば数え年で何歳のお祝いのことでしょう？,108歳,0006
長寿のお祝いで、「卒寿」といえば数え年で何歳のお祝いのことでしょう？,90歳,006
長寿のお祝いで、「傘寿」といえば数え年で何歳のお祝いのことでしょう？,80歳,006
70歳を表す「古稀」という言葉の由来となった詩「人生七十古来稀なり」を残した、「詩聖」と称される中国・唐代の詩人は誰でしょう？,杜甫,66
「国破れて山河あり」という句から始まる、中国・唐代の詩人である杜甫が詠んだ漢詩は何でしょう？,春望,66
酒に酔って湖に映った月を捕えようとして溺死したと伝わる、「詩仙」と称される中国・唐代の詩人は誰でしょう？,李白,66
中国の美術史では南宋画の祖と仰がれている、仏教に傾倒していたことから「詩仏」と称される唐代の詩人は誰でしょう？,王維,66
「春眠暁を覚えず」という句から始まる、中国・唐代の詩人である孟浩然が詠んだ漢詩は何でしょう？,春暁,66
童謡『虫のこえ』の歌詞で、「ちょんちょんちょんちょんすいっちょん」と鳴いているキリギリス科の昆虫は何でしょう？,ウマオイ,4444
童謡『虫のこえ』の歌詞で、「がちゃがちゃがちゃがちゃ」と鳴いているキリギリス科の昆虫は何でしょう？,クツワムシ,44444
「夏も近づく八十八夜」という歌い出しで始まる、初夏の光景を描いた日本の文部省唱歌は何でしょう？,茶摘み,663
童謡『森のくまさん』の歌詞で、お嬢さんが落とした白い貝殻のアクセサリーは何でしょう？,イヤリング,44444
島根県の仁摩サンドミュージアムには1年間を計れるものがある、中央のくびれたガラスの器に砂などを入れて時間を測定する装置を一般に何というでしょう？,砂時計,666
ビリヤードで、キューを立てて手球を打つことによって極端な回転を生み、通常では不可能な動きを狙うショットを何というでしょう？,マッセ,444
日本式天気記号では「白丸に一本の縦線」で表される、全天のうち雲の量が8割以下の天気のことを何というでしょう？,晴れ,63
