幾何学文様や植物の葉やつるを図案化した模様などに代表される、イスラム圏で発展した装飾模様のことを、「アラビア風の」という意味があるフランス語で何というでしょう？,アラベスク,44444
浮世絵『婦人相学十躰 浮気之相』を描いた、美人画を代表する絵師は誰でしょう？,喜多川歌麿,66666
ギリシャ語の「動き」を由来とする、動く彫刻作品のことを指す英語は「何アート」でしょう？,キネティックアート,444444444
ワイシャツの「ワイ」とは、何という英単語が短縮されたものでしょう？,ホワイト,4444
ギリシャ語で「螺旋の翼」という意味がある、機体上方の大きな回転翼によって飛行する乗り物といえば何でしょう？,ヘリコプター,444444
テニスで、サーブを2回連続で失敗することを英語で何というでしょう？,ダブルフォールト,44444444
1988年に映画『ほんの5g』で俳優デビュー、1990年にシングル『追憶の雨の中』で歌手デビューした、ドラマ『ガリレオ』『龍馬伝』での主演や、『HELLO』『桜坂』などのヒット曲で知られる俳優兼ミュージシャンは誰でしょう？,福山雅治,6666
本名をリチャード・スターキーという、ロックバンド・ビートルズでドラムを担当していた人物は誰でしょう？,リンゴ・スター,4444444
2016年に開幕した日本の男子プロバスケットボールリーグのことを、アルファベット1文字を使った通称で何リーグというでしょう？,Bリーグ,2444
いわゆる「四鏡」と呼ばれる4つの日本の歴史物語とは、『大鏡』『今鏡』『水鏡』と何でしょう？,増鏡,66
在任64日という、平成以降では最も在任期間が短かった日本の内閣総理大臣は誰でしょう？,羽田孜,666
その性格が「鳴かぬなら鳴かせてみせようほととぎす」という川柳でたとえられた、戦国時代の三英傑の1人といえば誰でしょう？,豊臣秀吉,6666
著書に『万葉集僻案抄』や『春葉集』などがある、賀茂真淵・本居宣長・平田篤胤とともに国学の「四大人」の1人に数えられる江戸中期の国学者は誰でしょう？,荷田春満,6666
単体が常温・常圧で液体となる2つの元素とは、水銀と何でしょう？,臭素,66
1571年に織田信長の焼き討ちに遭っている、滋賀県にある天台宗の総本山の寺院は何でしょう？,延暦寺,666
人形浄瑠璃の近松門左衛門や、浮世草子の井原西鶴らが活躍した、17世紀後半の上方を中心に栄えた文化を、当時の元号から何文化というでしょう？,元禄文化,6666
じゃがいもの都道府県別生産量で北海道に次ぐ第2位の都道府県はどこでしょう？,長崎県,666
日本の歴代内閣総理大臣のうち、通算在職日数が最も長い人物は誰でしょう？,桂太郎,666
相田周二、小宮浩信の2人からなる、マセキ芸能社所属のお笑いコンビは何でしょう？,三四郎,666
