函館山・稲佐山とともに「日本三大夜景」の望める場所の1つに数えられ、展望台「掬星台」から神戸の夜景を一望できることで知られる山は何山でしょう？,摩耶山,666
『死者の書』の1つ『グリーンフィールド・パピルス』の第17章で「打ち倒す者」として言及されている、シーツを被った人のような姿をしたエジプト神話の神は何でしょう？,メジェド,4444
検索エンジン「Google」のロゴで、1番目の「o」は赤色ですが、2番目の「o」は何色でしょう？,黄,6
その名前は多くの場合に1本の茎から2つの花が咲くことに由来する、東京都板橋区の「区の花」であるキンポウゲ科の植物は何でしょう？,ニリンソウ,44444
日本三大珍味の1つ「このわた」の材料になるのは何という生物の内臓でしょう？,ナマコ,444
2000年に完成させた「生誕の門」はガウディの作品群の一部としてユネスコの世界遺産に登録されている、スペイン・バルセロナのサグラダ・ファミリア教会で主任彫刻家を務める日本人彫刻家は誰でしょう？,外尾悦郎,6666
キンポウゲ科の「ニリンソウ」と「サンリンソウ」は、ともに何属に属する植物でしょう？,イチリンソウ属,4444446
日本語では「棟髪刈り」ともいう、頭部の左右を丸刈りにして中央部分の髪を残した、ニワトリのトサカのような形をした髪型は何でしょう？,モヒカン,4444
兵庫県の「神戸」の名前の由来となった、神戸市中央区にある神社は何でしょう？,生田神社,6666
金華火腿、プロシュット・ディ・パルマとともに世界三大ハムに数えられる、スペイン語で「山のハム」という意味の名前を持つハムは何でしょう？,ハモン・セラーノ,44444444
水玉模様のうち、ピンドットより大きくコインドットより小さいものを「何ドット」というでしょう？,ポルカドット,444444
金華火腿、プロシュット・ディ・パルマ、ハモン・セラーノといえば、「世界三大『何』」とされる食品でしょう？,ハム,44
先天色覚異常研究の先駆者として色覚異常を意味する言葉の語源となった人物で、円を用いた元素記号を発表したイギリスの科学者は誰でしょう？,ジョン・ドルトン,44444444
奈良・東大寺の大仏の左手もこの形である、相手に何かを与えることを意味する印相を何というでしょう？,与願印,666
奈良・東大寺の大仏の右手もこの形である、恐れなくてよいと相手を励ますことを意味する印相を何というでしょう？,施無畏印,6666
東北地方の6県で唯一、東北自動車道が経由していない県はどこでしょう？,山形県,666
1949年の全米水泳選手権にて自由形の3種目で世界新記録を更新し「フジヤマのトビウオ」と称された日本の水泳選手は誰でしょう？,古橋廣之進,66666
洋型・宮型・バス型・バン型のおおむね4種類に分けられる、葬送の際に遺体を移動させるために用いられる自動車を一般に何というでしょう？,霊柩車,666
明治期の日本で風刺雑誌『トバエ』を創刊し、帝国主義諸国を風刺した『魚釣り遊び』など教科書でもおなじみの風刺画を多数描いたことで知られるフランスの漫画家は誰でしょう？,ジョルジュ・ビゴー,444444444
尖った円錐型の屋根が特徴的な「トゥルッリ」という伝統家屋群がユネスコの世界遺産に登録されている、イタリア・プッリャ州にある人口約1万人の町はどこでしょう？,アルベロベッロ,4444444
トマトの実に含まれる赤い色素として知られる、別名を「ψ-カロテン」というカロテンの一種は何でしょう？,リコピン,4444
リンゴの品種で、物理学者ニュートンがこの木から落ちる実を見て万有引力を発見したという逸話があるものを日本では一般に「何の花」と呼ぶでしょう？,ケントの花,44436
体の表面にグアニンという銀色の成分を持ち、それがかつて模造真珠やラメの材料として使われていたことでも知られる、頭を海面に向け立ち泳ぎをする習性を持つ魚は何でしょう？,タチウオ,4444
頭頂部の色に特徴があることからその名が付けられた、北海道の道鳥に指定されているツル科の鳥は何でしょう？,タンチョウ,44444
中島敦の小説『山月記』で、主人公の李徴は何の動物に変身してしまうでしょう？,虎,6
スキーのジャンプ競技で、そのジャンプ台における最長不倒飛行記録のことを、ジャンプ台を意味するノルウェー語を使って「何レコード」というでしょう？,バッケンレコード,44444444
ノーベル物理学賞を受賞したキュリー夫妻のうち、夫のピエールはフランス出身ですが、妻のマリーは現在のどこの国の出身でしょう？,ポーランド共和国,44444666
1字のものは「む・す・め・ふ・さ・ほ・せ」の7個、2字のものは42個ある、小倉百人一首において、歌の冒頭からその部分まで読めば1つの歌に限定できるという部分のことを何というでしょう？,決まり字,6336
1955年の7月9日に発表され、パグウォッシュ会議の開催のきっかけとなった宣言文を、これを訴えた2人の人物の名をとって何宣言というでしょう？,ラッセル＝アインシュタイン宣言,444454444444466
一端を塞ぎ水銀で満たしたガラス管を、水銀を張った容器に逆さまに立てた時に、管の上部にできる真空空間のことを、この実験を行ったイタリアの物理学者の名をとって「何の真空」というでしょう？,トリチェリの真空,44444366
「ラッセル＝アインシュタイン宣言」によって創設された、全ての核兵器と戦争の廃絶を訴える科学者による国際会議を、その第1回が行われたカナダの地名から何会議というでしょう？,パグウォッシュ会議,444444466
デビュー作である『日蝕』で芥川賞を受賞した、『葬送』『ドーン』『マチネの終わりに』などの代表作がある愛知県出身の小説家は誰でしょう？,平野啓一郎,66666
作家としても『苦汁100%』『祐介』などの作品を発表し、自身がボーカルを務めるロックバンド・クリープハイプではほとんどの楽曲の作詞・作曲を行っているミュージシャンは誰でしょう？,尾崎世界観,66666
大気中の水蒸気が飽和水蒸気量に達し、水が凝結しはじめる温度を何というでしょう？,露点,66
導体に電流が流れる時、導体から発生する熱量は電流の強さと電圧の強さと時間に比例するという法則を、これを発見したイギリスの物理学者の名前をとって「何の法則」というでしょう？,ジュールの法則,4444366
将棋で、一方の玉将が敵陣に入ることを漢字2文字で何というでしょう？,入玉,66
相撲で、取り組み中に廻しが外れて局部が見えてしまう反則を何というでしょう？,不浄負け,6663
「紅玉髄」ともいう鉱物の一種で、ナポレオンの印章もこれで作られたとされる、7月の誕生石の1つは何でしょう？,カーネリアン,444444
AEDはこの症状の除去を行うのに主に用いられる、心臓のある部分が小刻みに振動して全身に血液を送れなくなる不整脈の一種を何というでしょう？,心室細動,6666
